Latitude,Longitude,Category
38.2654454,-85.7902195,10
38.2507081,-85.8151753,10
38.2552296,-85.760384,10
38.2166262,-85.765671,10
38.1336201,-85.5923781,10
38.1190464,-85.6628587,10
38.1810034,-85.8662888,10
37.70419,-85.8042156,10
37.814511,-85.4889091,10
38.2636656,-85.6983492,10
38.1465247,-85.5772287,10
38.2167898,-85.6574389,10
38.54471,-84.8216885,10
38.1516445,-85.6643049,10
38.7822919,-84.894638,10
37.4752081,-85.9759864,10
38.2701611,-85.8074523,10
38.1212116,-85.8786909,10
38.2957165,-85.5492935,10
38.2474802,-85.8312918,10
38.3173527,-85.5320795,10
38.1760743,-85.7616882,10
38.1742206,-85.572426,10
38.2213736,-85.2033918,10
37.8222854,-86.0152552,10
38.1685388,-85.6639556,10
37.4327444,-83.3769967,10
38.1275696,-85.6612049,10
36.9816938,-85.0648665,10
38.1536906,-85.8059775,10
37.5416342,-85.6648163,10
38.190136,-85.2083436,10
37.8750508,-86.2608991,10
38.0292409,-84.5308361,10
38.3145164,-85.5275928,10
38.15707,-85.8030359,10
38.1994479,-85.8279895,10
38.1873004,-85.7901827,10
38.2271282,-85.7903776,10
38.1252516,-85.8668448,10
38.085164,-84.466467,10
38.2067239,-85.6380083,10
38.7821927,-84.8861312,10
38.2691692,-85.6044637,10
37.7787295,-84.6904375,10
37.4846742,-86.3009095,10
38.2155338,-85.7917231,10
38.252765,-85.7690511,10
37.5837445,-85.624771,10
38.2578477,-85.8152591,10
38.0824997,-85.6272386,10
38.3818568,-85.8103614,10
38.1723362,-85.676729,10
37.6825049,-85.8597047,10
38.1516383,-85.6626685,10
37.8154734,-85.4527444,10
38.536329,-85.3291102,10
38.0157703,-85.890636,10
37.7956023,-85.9865353,10
37.9225093,-86.1458651,10
37.8755979,-86.1622888,10
37.768098,-85.0411872,10
37.8807738,-84.5522947,10
38.0629847,-85.7115166,10
38.379588,-85.4017243,10
38.0341251,-84.1440025,10
37.5797956,-85.438477,10
37.5986328,-85.148373,10
38.1842994,-85.8472274,10
38.1302806,-85.6853834,10
37.734065,-85.8774205,10
38.082077,-85.6740766,10
38.2209557,-85.2494735,10
38.1861448,-85.8287895,10
38.1987198,-85.8446543,10
37.816537,-85.4902616,10
38.1484024,-85.8120076,10
38.1960601,-85.8044804,10
38.2227465,-85.7977786,10
38.1397771,-85.7824734,10
37.6667862,-82.7671765,10
37.8383088,-86.3800208,10
37.4131401,-86.3698772,10
39.0860067,-84.4932902,10
38.6442214,-85.3401065,10
38.0599285,-85.9002699,10
38.2701123,-85.7899796,10
38.0451688,-85.5507677,10
38.228907,-85.7375492,10
38.1293215,-85.6318981,10
37.7498219,-85.8789442,10
38.2490584,-85.7394251,10
38.0689836,-84.5042928,10
37.9019729,-86.0634771,10
38.2003035,-85.731738,10
38.1473223,-85.6535249,10
37.9087176,-85.9833818,10
36.873523,-86.9180841,10
38.2172197,-85.6478592,10
38.098213,-85.8523509,10
38.0960477,-85.5791463,11
37.5623557,-85.2624596,11
38.2134805,-85.6419364,11
37.4717357,-85.7513832,11
38.229511,-85.801346,11
38.1456255,-85.8459626,11
38.191073,-85.8086662,11
38.1274512,-85.8414259,11
38.2397849,-85.8310914,11
38.2471115,-85.8096201,11
38.0587252,-85.2502917,11
38.1631189,-85.7780258,11
38.2308839,-85.7611298,11
38.2729418,-85.8189392,11
38.0600813,-85.4814829,11
37.2954295,-87.1262588,11
37.4629917,-85.8953451,11
37.7474027,-85.9860831,11
36.5587219,-88.6245625,11
38.401378,-85.380375,11
38.0416417,-85.6043905,11
38.2071106,-85.6736035,11
38.0296248,-84.9060002,11
38.194132,-85.6541928,11
37.2659073,-85.804008,11
35.0199152,-90.0517309,11
37.9118067,-86.10507,11
37.7323093,-85.036025,11
38.2192182,-85.8156441,11
37.8309115,-86.6339313,11
38.0960689,-85.8765024,11
37.8866817,-85.9699606,11
38.1952597,-85.6724437,11
38.2245427,-85.7931351,11
38.1936896,-85.5806587,11
38.2352851,-85.7768595,11
38.6865708,-84.9744183,11
36.7227487,-86.5883085,11
38.2334119,-85.8124782,11
37.8211239,-85.4633539,11
38.2157185,-85.2343763,11
38.184049,-85.7054471,11
37.4989099,-86.2081791,11
37.6342797,-85.8614315,11
38.2243387,-85.8089131,11
36.8481174,-83.3131271,11
38.1696385,-85.5937262,11
38.2236269,-85.7972573,11
37.5555263,-86.413294,11
37.0409456,-88.6737198,11
38.2041358,-85.2287832,11
38.0969723,-85.7780031,11
37.9248456,-86.1618079,11
38.219199,-85.7891441,11
38.1612104,-85.7644284,11
38.1224075,-85.6354098,11
38.1702449,-85.8879234,11
37.4886529,-86.2813098,11
37.7439441,-85.9861739,11
38.076877,-85.8683849,11
38.1264811,-85.7621663,11
37.5423895,-86.1466254,11
38.2738431,-85.8080446,11
34.8073521,-77.4631349,11
38.0615713,-85.2141702,11
38.1575613,-85.6207808,11
38.2045645,-85.8194424,11
37.560218,-84.2880867,11
37.9819037,-85.4885432,11
37.8996504,-85.2218897,11
38.2523519,-85.4813228,11
37.7774179,-87.1519358,11
37.5844326,-86.25568,11
38.3630661,-84.5941722,11
37.9987075,-85.9489456,11
38.1908417,-85.784437,11
37.8437478,-85.9696041,11
38.1225254,-85.8674278,11
38.2620731,-85.6686891,11
37.4712965,-85.8957254,11
37.4974761,-86.4789483,11
38.1848286,-85.7874559,11
37.9952827,-86.1691702,11
38.0831853,-85.8815482,11
38.11273,-85.8672682,11
38.0804225,-85.8729294,11
38.1148922,-85.6625917,11
38.1452333,-85.7656866,11
38.1960466,-85.7615265,11
38.2409124,-85.5893203,11
38.2588521,-85.6974124,11
38.4083452,-85.3874372,11
38.1911122,-85.8747792,11
38.1436542,-85.5903612,11
37.386112,-86.5350307,11
37.5797628,-85.0444338,11
38.197879,-85.5843388,11
38.2637029,-85.7905089,11
38.2757112,-85.568674,11
38.1989192,-85.7659834,11
37.929255,-86.275244,11
37.8624979,-85.943237,11
39.6337718,-84.8744113,11
38.0558974,-85.5196448,11
38.1796215,-85.6297139,11
38.2343991,-85.8016965,11
38.2310384,-85.8093877,11
38.2057639,-85.5627902,11
37.9790261,-84.4984299,11
37.0559998,-84.4087219,11
38.2089178,-85.2370535,11
38.2312689,-85.7581808,11
38.2511027,-85.7732772,11
37.9295338,-85.992097,11
37.6181257,-85.3103257,11
38.23921,-85.7801475,11
38.3129754,-84.9252026,11
36.7957304,-88.707936,11
38.0615181,-84.4719284,11
38.2030166,-85.7812224,11
38.1344712,-85.6522095,11
38.263377,-85.7983306,11
38.2093897,-85.7868313,11
38.1849956,-85.6263564,11
37.634307,-86.126604,11
38.6982682,-85.3694665,11
37.7125633,-85.8462853,11
43.0417595,-83.1644053,11
38.2206213,-85.8029301,11
38.1825407,-85.5734293,11
38.5929799,-85.3169014,11
29.3604376,-98.626287,11
38.1290439,-85.6910535,11
37.8397696,-85.1679187,11
38.2450874,-85.7675116,11
44.8640612,-93.3227187,11
36.9920229,-86.4511581,11
38.1386467,-85.6893111,11
38.2633419,-85.7919751,11
38.0319301,-85.3657353,11
38.1995107,-85.8400827,11
37.8544891,-85.9457229,11
37.2552615,-85.4974062,11
38.2544381,-85.8095148,11
38.1107827,-85.8713121,11
38.2934628,-85.5531092,11
38.596916,-85.320008,11
37.676188,-85.6114651,11
38.0018646,-85.7413656,11
38.1494256,-85.6703492,11
38.17639,-85.7889127,11
36.7439675,-84.1654501,11
38.2480991,-85.7924866,11
37.9569759,-85.5832022,11
38.2211847,-85.7271386,11
38.8590177,-84.2629688,11
37.8902889,-85.543907,11
37.8124871,-85.9708371,11
37.4636185,-86.2334989,11
38.151879,-85.8184975,11
38.2341097,-85.5424032,11
38.2521929,-85.7691675,11
38.1406839,-85.7746418,11
37.6961685,-83.9731051,11
37.856436,-85.5220002,11
38.1198686,-85.7990418,11
38.2560803,-85.752634,11
37.5693679,-86.1905919,11
38.2551707,-85.6527869,11
36.8541808,-84.2314628,11
37.7715175,-85.8992118,11
37.8197222,-85.9175588,11
38.0718169,-85.6815379,11
37.9904485,-85.4289109,11
37.8485953,-85.3548187,11
37.6180625,-85.5572324,11
38.2416923,-85.7387346,11
37.6798167,-85.8597315,11
38.2125741,-85.1983784,11
37.8299288,-85.4535634,11
38.1369667,-85.7891568,11
38.2019927,-85.7750072,11
37.7056935,-85.8716531,11
38.2566508,-85.7214143,11
38.1223043,-85.7536619,11
38.1817367,-85.7949723,11
38.1683445,-85.6724282,11
37.4887713,-86.2979729,11
38.2687942,-85.6964865,11
37.8142151,-85.3879196,11
37.1287419,-84.0817891,11
38.1662043,-85.6737279,11
38.0521448,-85.8967742,11
38.2559721,-85.7836325,11
37.6918048,-85.8613641,11
37.846597,-85.9608769,11
38.2210391,-85.2399338,11
38.2311088,-85.7104449,11
38.2509804,-85.8208244,11
38.1694334,-85.5983774,11
38.1261456,-85.8742779,11
37.7179548,-85.888377,11
38.1359831,-85.8803486,11
37.4864143,-86.0980052,11
38.3733748,-85.4029287,11
38.1031381,-85.7188053,11
37.8190123,-85.9087177,11
38.1728507,-85.6780379,11
38.2514249,-85.8085741,11
38.129452,-85.8556529,11
37.99312,-85.6217406,11
38.2551926,-85.6123991,11
38.263159,-85.8023045,11
37.1031901,-86.3838206,11
38.1795,-85.8100702,11
38.1741026,-85.7902168,11
38.2495689,-85.7473183,11
38.2078039,-84.8425028,11
36.8725743,-87.4663872,11
37.7892985,-85.5377154,11
37.6012189,-82.8251792,11
38.5338969,-84.7717467,11
38.3295773,-85.5262605,11
38.1444167,-85.8770421,11
38.3538805,-85.3274155,11
37.8388629,-85.965975,11
37.6732357,-85.8362635,11
38.1260546,-85.7551241,11
38.1737625,-85.6673863,11
38.1853752,-85.723607,11
36.6559106,-84.1271341,11
36.9520448,-86.4537098,11
37.4902888,-85.3671821,11
38.2385823,-85.7969407,11
38.1764209,-85.2060697,11
38.2340598,-85.7576227,11
38.1436005,-85.8843887,11
38.4154529,-85.3760469,11
36.6715168,-86.6739915,11
38.1102826,-85.7690876,11
38.1835837,-85.6301116,11
37.7784526,-86.4644462,11
38.2168058,-85.711045,11
38.1518087,-85.6588483,11
38.0164626,-85.9065115,11
38.4153911,-85.3830499,11
38.2302275,-85.7522301,11
38.0858337,-85.5062358,11
38.1180879,-85.7010089,11
38.1027848,-85.6962866,11
38.1505062,-85.5955603,11
37.5525208,-86.1902816,11
37.5932321,-84.2868062,11
38.1546429,-85.5980291,11
38.1808133,-85.7841064,11
36.6247835,-88.2482147,11
38.2096513,-85.7158224,11
38.143709,-85.6055648,11
38.1897645,-85.6227685,11
37.5091867,-86.3507603,11
36.8511756,-86.8696325,11
37.9707797,-85.4636287,11
38.1150272,-85.8728486,11
37.8344554,-86.0643848,11
38.0608159,-84.4366129,11
37.8209715,-85.9083163,11
37.6139575,-85.8538309,11
38.2248427,-85.3201786,11
38.4301517,-85.1750784,11
38.1768984,-85.6702394,11
38.2976569,-85.4689096,11
38.4126211,-85.3745898,11
37.7619759,-86.0751668,11
37.7290062,-85.8187583,11
37.9052278,-86.1498624,11
38.1811277,-85.7588502,11
38.2117811,-85.7515927,11
37.0075944,-86.4507958,11
38.175361,-85.6295309,11
38.1732466,-85.6729862,11
37.9424538,-86.101598,11
38.2755882,-85.5649496,11
36.3414849,-86.7672165,11
38.0683362,-85.8927366,11
37.4304671,-86.6142462,11
38.2215717,-85.7296233,11
38.1994396,-85.213065,11
38.2254813,-84.8400147,11
38.1144392,-85.7945719,11
38.5240072,-85.2049147,11
38.2311626,-85.5317428,11
37.7401925,-84.3176396,11
38.5333196,-85.2112164,11
38.2658064,-85.8134893,11
37.5223562,-86.3252001,11
36.762697,-86.9277962,11
38.1201358,-85.8695222,11
37.99727,-86.3315264,11
36.7160483,-88.6722354,11
38.4921048,-84.9444348,11
38.2699983,-85.4844274,11
37.9414553,-85.558589,11
37.8418081,-85.1384183,11
37.8098821,-85.3896456,11
37.8158669,-86.3167343,11
38.2132077,-85.3547701,11
38.0515721,-85.5510324,11
38.3117099,-85.5452501,11
37.5626171,-85.7317733,11
36.8619463,-87.5104001,11
37.3463881,-83.475195,11
37.7088227,-85.8500289,11
38.2064797,-85.6457148,11
38.6506762,-85.1335016,11
37.683808,-85.2130097,11
38.2046234,-85.2392681,11
38.0379417,-85.3477151,11
38.146033,-85.8499396,11
38.0554486,-85.5533762,11
38.1509532,-85.5681856,11
39.0238737,-84.7256134,11
38.642748,-85.2179312,11
38.175564,-85.8242088,11
37.8308817,-85.4411986,11
38.3194988,-85.2558128,11
37.6915227,-85.866995,11
38.2457174,-85.8091438,11
38.1736947,-85.8905732,11
38.1587457,-85.8041203,11
37.8430463,-86.0296163,11
38.232791,-85.7785985,11
37.4191673,-86.3707619,11
38.2404068,-85.8001028,11
36.7436545,-88.2949001,11
38.1883252,-85.0951568,11
38.6701205,-85.2807849,11
38.2519529,-85.7898021,11
38.2361294,-85.7337513,11
37.655128,-85.5363772,11
38.2591139,-85.7918583,11
38.150462,-85.8584413,11
38.2361586,-85.7607822,11
37.7719766,-86.4429524,11
37.6229663,-85.5079831,11
38.5514702,-83.1087316,11
38.1687628,-85.6736167,11
38.2067344,-85.2383229,11
38.0653441,-85.8501472,11
38.2370421,-85.7883721,11
38.0842805,-85.8725082,11
37.0644247,-88.6485959,11
38.0425651,-85.5680565,11
38.1028426,-85.8721133,11
38.3195985,-85.4752087,11
38.2038004,-85.6363647,11
38.1892551,-85.621331,11
37.7091213,-85.8757695,11
37.8892879,-86.0675105,11
38.1910588,-85.6494369,11
38.2391754,-85.7414243,11
38.2361706,-85.7926676,11
38.253974,-85.7961729,11
37.7521128,-84.8480023,11
37.5579709,-86.2861365,11
38.2654921,-85.7916516,11
38.1757676,-85.7760732,11
38.253541,-85.7740882,11
38.2633165,-85.8196755,11
38.2494095,-85.7400357,11
38.1602761,-85.7127176,11
38.2267575,-85.7017768,11
37.5650726,-85.6277506,11
38.0027215,-86.1408841,11
38.2467262,-85.7883798,11
38.2387601,-85.7867039,11
37.893585,-85.7184414,11
38.2746072,-85.5878347,11
39.0899353,-96.8072342,11
38.2134813,-85.7670275,11
38.1908588,-85.757222,11
37.7747254,-87.1101251,11
38.3238333,-85.4744509,11
37.5255339,-85.8975324,11
37.5248673,-85.2553858,11
36.8598768,-87.4883997,11
38.225106,-85.8059793,11
38.2147537,-85.6522505,11
37.8412475,-87.5817236,11
37.7532321,-85.939065,11
38.3048337,-85.5509419,11
38.3086252,-85.5354543,11
38.0999959,-85.6361687,11
38.3803885,-85.4502865,11
37.8731419,-84.5628823,11
38.1068393,-85.6632296,11
38.1220296,-85.3219887,11
38.2959008,-85.6672256,11
37.5025853,-85.1868344,11
38.2002342,-85.7841204,11
38.1009927,-85.8736966,11
38.262566,-85.7916865,11
37.043336,-88.5039016,11
37.8098907,-85.9086583,11
38.2064635,-85.5731828,11
37.8875465,-85.7390521,11
38.2019052,-85.6273715,11
38.2479952,-85.7666628,11
37.8223263,-85.9215432,11
37.7052829,-85.8680624,11
38.1044798,-85.8238495,11
37.6361476,-85.393288,11
37.7672833,-85.4982809,11
38.2278361,-85.8000784,11
38.2382182,-85.7932951,11
38.2274873,-85.7515178,11
37.4133507,-86.3279502,11
38.2533844,-85.7817983,11
37.9779636,-85.7354997,11
38.212141,-85.7757994,11
38.1876118,-85.7870065,11
38.1075453,-85.8801842,11
37.6793974,-85.8675092,11
38.2579931,-85.7735994,11
36.9921168,-86.4396129,11
38.1768947,-85.8165455,11
38.5070318,-85.3609729,11
37.6849659,-85.7028324,11
37.8084713,-85.4402891,11
37.7324689,-85.9112319,11
38.179229,-85.759097,11
37.8226029,-85.4834292,11
38.7137065,-85.4187329,11
38.1154192,-85.7691926,11
38.1959274,-85.7854674,11
38.1423648,-85.6236505,11
38.0614705,-85.6838565,11
38.206183,-85.8618377,11
38.2597154,-85.6926779,11
38.2507569,-85.8119347,11
37.8085398,-85.9495914,11
36.9764445,-85.6120093,11
38.0776915,-85.872685,11
38.2005691,-85.8048118,11
36.8815444,-84.0799041,11
38.224512,-85.785078,11
37.3575001,-85.5796552,11
38.1110741,-85.7737171,11
37.7154166,-85.852283,11
38.2458429,-85.7753956,11
38.2620519,-85.7949341,11
37.9370018,-85.5089485,11
37.3397527,-86.2331015,11
38.2243215,-85.3505486,11
38.255052,-85.7930335,11
38.1615309,-85.7602216,11
38.2239343,-85.743839,11
38.035177,-84.4699635,11
37.983459,-85.7355347,11
39.6517915,-86.0404802,11
37.1274181,-84.0734208,11
38.0765503,-85.3642847,11
38.2117821,-84.8442734,11
38.2086405,-85.6558363,11
37.4997811,-86.2992835,11
38.2039241,-85.6600168,11
37.904811,-86.0617714,11
37.7074168,-85.8644405,11
38.1301738,-85.5613002,11
37.809638,-85.9130708,11
38.2184299,-85.7907632,11
38.1716733,-85.8841968,11
38.2047274,-85.5923712,11
37.8082531,-85.4711909,11
37.1401398,-86.3665913,11
37.6348116,-84.7706648,11
38.2769779,-85.2264646,11
38.1927101,-85.8268345,11
36.8127058,-87.4577764,11
37.9384566,-86.1912287,11
37.5369915,-85.9495535,11
38.2308764,-85.7876096,11
37.8073077,-85.4489561,11
37.5854572,-86.0253644,11
38.2419343,-85.8200273,11
37.5745365,-85.2545584,11
38.1973341,-85.6176024,11
38.2115387,-85.7686292,11
37.8813567,-85.0368237,11
38.1778792,-85.764652,11
38.1398246,-85.5948602,11
38.259747,-85.6964646,11
37.485935,-86.2961227,11
41.5818848,-93.658187,11
37.8396341,-85.4563249,11
38.0601935,-85.8836589,11
37.6814547,-85.8481839,11
38.2404842,-85.7392765,11
37.4639392,-86.1788236,11
38.2508912,-85.7393314,11
38.6880669,-85.3187478,11
38.0980229,-85.6600781,11
38.2585021,-85.7723667,11
37.5661084,-85.2425044,11
37.6169264,-86.469858,11
37.7084832,-85.2615989,11
38.2300403,-85.7322887,11
38.175051,-85.758578,11
38.1027648,-85.6516977,11
37.6492772,-85.8459819,11
38.0680463,-85.688675,11
37.7372646,-84.6683856,11
37.5865868,-86.4491457,11
38.2617274,-85.7981569,11
38.1777965,-85.8005131,11
38.08643,-85.6744268,11
38.2701758,-85.5822945,11
38.1781032,-85.5996451,11
37.8888259,-86.0492461,11
37.5751191,-85.740882,11
38.2416883,-85.7323946,11
37.5125508,-86.4093377,11
37.8164379,-86.0428544,11
38.0536539,-85.4581706,11
38.1673535,-85.7658416,11
38.0350321,-85.6068665,11
38.2105302,-85.7142612,11
38.1588728,-85.8099824,11
37.7681427,-85.9218765,11
37.6563427,-85.5890577,11
38.2044065,-85.2327104,11
37.7461493,-85.981338,11
37.8762472,-85.4646558,11
38.1296757,-85.6035499,11
37.8064214,-85.9933387,11
37.8123029,-85.9671183,11
37.6829354,-85.2112533,11
37.7503277,-85.9743724,11
37.5091939,-86.2918797,11
37.7577925,-85.984084,11
38.2435833,-85.7914587,11
38.2074535,-85.24121,11
38.147556,-85.7702983,11
36.843508,-83.3159068,11
38.2557289,-85.7737599,11
38.6971703,-85.3130803,11
38.189151,-85.7872312,11
38.1882384,-85.8365259,11
38.1944543,-85.6944969,11
38.2568483,-85.7898342,11
36.5172474,-88.8938515,11
37.6486094,-85.8399708,11
36.9826854,-86.4850382,11
38.2369615,-85.7914132,11
38.2568164,-85.8155939,11
37.4264713,-86.2638656,11
38.4275232,-85.2299968,11
38.0300865,-85.8269635,11
38.1850834,-85.5560647,11
38.090426,-85.8153005,11
38.0509,-84.4385186,11
37.6572798,-85.5789756,11
38.2021435,-85.6678922,11
37.7143567,-85.8566818,11
38.2231192,-85.0734296,11
38.1655999,-85.7105695,11
38.1692049,-85.8769505,11
38.1176345,-85.8128367,11
38.2923818,-85.6220548,11
38.2711421,-85.803189,11
38.5783716,-84.3536155,11
38.2486965,-85.5463432,11
38.2315717,-85.7372177,11
37.7118207,-85.8760859,11
37.6537392,-85.6982002,11
38.1286986,-85.739457,11
38.2262297,-85.7883491,11
37.5151321,-86.4467551,11
38.1520815,-85.8537873,11
38.1801045,-85.8495596,11
38.0415578,-84.7360023,11
37.57392,-85.7432048,11
38.2188697,-85.2437061,11
38.5281874,-84.6427878,11
37.2795839,-86.2115131,11
37.5370801,-85.7553707,11
37.0440314,-84.6133054,11
37.7425355,-85.7589509,11
37.7220098,-84.8257133,11
38.0555181,-85.5567075,11
38.4058415,-85.5896606,11
38.1306397,-85.6933167,11
33.7356214,-84.2528163,11
37.5984528,-85.3021029,11
38.1151999,-85.8552862,11
38.1999717,-85.5785872,11
38.2098581,-85.2411038,11
37.6820426,-85.8469883,11
38.0645773,-85.889066,11
38.2495234,-85.772198,11
38.1790402,-85.7659702,11
37.3161277,-86.0728282,11
37.960858,-86.196663,11
38.3677947,-85.1861231,11
38.2126246,-84.5698762,11
37.3423076,-87.461052,11
37.972096,-86.2538883,11
37.8223809,-85.4812271,11
38.2500546,-85.7336359,11
38.3166461,-85.5243088,11
37.2074152,-87.175982,11
38.0498125,-85.5386912,11
38.2592459,-85.8099502,11
38.2085894,-85.7128773,11
38.1534179,-85.7619408,11
37.4670023,-85.8100353,11
38.1932769,-85.618343,11
38.2001854,-85.1227043,11
37.6817083,-85.8582166,11
37.8991435,-85.4697945,11
38.2074561,-85.2376214,11
38.193282,-85.6508105,11
38.277146,-85.8004365,11
38.1465351,-85.6701228,11
38.5779119,-85.3548578,11
38.1230813,-85.7538916,11
38.1008732,-85.7535223,11
37.8003387,-85.2135765,11
37.8055174,-85.4377808,11
38.1863154,-85.762902,11
37.649896,-85.6295987,11
38.2379508,-85.7945972,11
38.1948013,-85.5682264,11
38.1435818,-85.7006358,11
38.1387651,-85.6405983,11
37.4877164,-86.2168212,11
37.8968497,-85.4658931,11
37.4960601,-86.1950907,11
38.2524161,-85.763039,11
38.2497609,-85.7380537,11
38.1686733,-85.7036185,11
37.7787707,-86.06077,11
38.1714327,-85.699413,11
37.7159896,-87.7908018,11
38.1331565,-85.6562175,11
37.4726828,-86.2983625,11
37.5805744,-85.2409096,11
38.2727374,-85.6057104,11
38.4395375,-82.7006448,11
37.8594157,-85.300209,11
38.2389694,-85.7554541,11
38.235048,-85.5758802,11
38.4076572,-85.3677905,11
37.5542585,-85.8581219,11
37.4817789,-86.2903045,11
